state,district,category,type,crimes,year
Johor,All,assault,robbery_gang_unarmed,270,2022
Johor,All,assault,robbery_solo_armed,3,2016
Johor,All,assault,robbery_solo_armed,0,2017
Johor,All,assault,robbery_solo_armed,0,2018
Johor,All,assault,robbery_solo_armed,1,2019
Johor,All,assault,robbery_solo_armed,0,2020
Johor,All,assault,robbery_solo_armed,0,2021
Johor,All,assault,robbery_solo_armed,0,2022
Johor,All,assault,robbery_solo_unarmed,447,2016
Johor,All,assault,robbery_solo_unarmed,481,2017
Johor,All,assault,robbery_solo_unarmed,330,2018
Johor,All,assault,robbery_solo_unarmed,328,2019
Johor,All,assault,robbery_solo_unarmed,479,2020
Johor,All,assault,robbery_solo_unarmed,138,2021
Johor,All,assault,robbery_solo_unarmed,193,2022
Johor,All,property,all,10121,2016
Johor,All,property,all,8729,2017
Johor,All,property,all,8458,2018
Johor,All,property,all,7947,2019
Johor,All,property,all,5966,2020
Johor,All,property,all,3440,2021
Johor,All,property,all,3489,2022
Johor,All,property,break_in,1475,2016
Johor,All,property,break_in,1211,2017
Johor,All,property,break_in,1239,2018
Johor,All,property,break_in,1364,2019
Johor,All,property,break_in,1273,2020
Johor,All,property,break_in,883,2021
Johor,All,property,break_in,767,2022
Johor,All,property,theft_other,2117,2016
Johor,All,property,theft_other,2043,2017
Johor,All,property,theft_other,2025,2018
Johor,All,property,theft_other,1912,2019
Johor,All,property,theft_other,1403,2020
Johor,All,property,theft_other,942,2021
Johor,All,property,theft_other,1041,2022
Johor,All,property,theft_vehicle_lorry,400,2016
Johor,All,property,theft_vehicle_lorry,274,2017
Johor,All,property,theft_vehicle_lorry,278,2018
Johor,All,property,theft_vehicle_lorry,219,2019
Johor,All,property,theft_vehicle_lorry,141,2020
Johor,All,property,theft_vehicle_lorry,71,2021
Johor,All,property,theft_vehicle_lorry,73,2022
Johor,All,property,theft_vehicle_motorcar,1443,2016
Johor,All,property,theft_vehicle_motorcar,1097,2017
Johor,All,property,theft_vehicle_motorcar,1035,2018
Johor,All,property,theft_vehicle_motorcar,981,2019
Johor,All,property,theft_vehicle_motorcar,802,2020
Johor,All,property,theft_vehicle_motorcar,400,2021
Johor,All,property,theft_vehicle_motorcar,429,2022
Johor,All,property,theft_vehicle_motorcycle,4686,2016
Johor,All,property,theft_vehicle_motorcycle,4104,2017
Johor,All,property,theft_vehicle_motorcycle,3881,2018
Johor,All,property,theft_vehicle_motorcycle,3471,2019
Johor,All,property,theft_vehicle_motorcycle,2347,2020
Johor,All,property,theft_vehicle_motorcycle,1144,2021
Johor,All,property,theft_vehicle_motorcycle,1179,2022
Johor,Batu Pahat,assault,all,160,2016
Johor,Batu Pahat,assault,all,123,2017
Johor,Batu Pahat,assault,all,104,2018
Johor,Batu Pahat,assault,all,139,2019
Johor,Batu Pahat,assault,all,127,2020
Johor,Batu Pahat,assault,all,60,2021
Johor,Batu Pahat,assault,all,52,2022
Johor,Batu Pahat,assault,causing_injury,39,2016
Johor,Batu Pahat,assault,causing_injury,41,2017
Johor,Batu Pahat,assault,causing_injury,28,2018
Johor,Batu Pahat,assault,causing_injury,41,2019
Johor,Batu Pahat,assault,causing_injury,43,2020
Johor,Batu Pahat,assault,causing_injury,22,2021
Johor,Batu Pahat,assault,causing_injury,19,2022
Johor,Batu Pahat,assault,murder,6,2016
Johor,Batu Pahat,assault,murder,0,2017
Johor,Batu Pahat,assault,murder,3,2018
Johor,Batu Pahat,assault,murder,3,2019
Johor,Batu Pahat,assault,murder,3,2020
Johor,Batu Pahat,assault,murder,0,2021
Johor,Batu Pahat,assault,murder,3,2022
Johor,Batu Pahat,assault,rape,29,2016
Johor,Batu Pahat,assault,rape,23,2017
Johor,Batu Pahat,assault,rape,13,2018
Johor,Batu Pahat,assault,rape,29,2019
Johor,Batu Pahat,assault,rape,16,2020
Johor,Batu Pahat,assault,rape,18,2021
Johor,Batu Pahat,assault,rape,13,2022
Johor,Batu Pahat,assault,robbery_gang_armed,1,2016
Johor,Batu Pahat,assault,robbery_gang_armed,0,2017
Johor,Batu Pahat,assault,robbery_gang_armed,0,2018
Johor,Batu Pahat,assault,robbery_gang_armed,0,2019
Johor,Batu Pahat,assault,robbery_gang_armed,0,2020
Johor,Batu Pahat,assault,robbery_gang_armed,0,2021
Johor,Batu Pahat,assault,robbery_gang_armed,0,2022
Johor,Batu Pahat,assault,robbery_gang_unarmed,56,2016
Johor,Batu Pahat,assault,robbery_gang_unarmed,47,2017
Johor,Batu Pahat,assault,robbery_gang_unarmed,33,2018
Johor,Batu Pahat,assault,robbery_gang_unarmed,37,2019
Johor,Batu Pahat,assault,robbery_gang_unarmed,32,2020
Johor,Batu Pahat,assault,robbery_gang_unarmed,9,2021
Johor,Batu Pahat,assault,robbery_gang_unarmed,5,2022
Johor,Batu Pahat,assault,robbery_solo_armed,1,2016
Johor,Batu Pahat,assault,robbery_solo_armed,0,2017
Johor,Batu Pahat,assault,robbery_solo_armed,0,2018
Johor,Batu Pahat,assault,robbery_solo_armed,0,2019
Johor,Batu Pahat,assault,robbery_solo_armed,0,2020
Johor,Batu Pahat,assault,robbery_solo_armed,0,2021
Johor,Batu Pahat,assault,robbery_solo_armed,0,2022
Johor,Batu Pahat,assault,robbery_solo_unarmed,28,2016
Johor,Batu Pahat,assault,robbery_solo_unarmed,12,2017
Johor,Batu Pahat,assault,robbery_solo_unarmed,27,2018
Johor,Batu Pahat,assault,robbery_solo_unarmed,29,2019
